City.From	Latitude	Longitude	Latitude.Point.From	Longitude.Point.From	To	From	Value	Time	Longitude.Point.To	Latitude.Point.To	City.To
Sudbury	46.49	-81.01	46.4946321792802	-81.0170556414158	728	400	2180.43220165418	2016-11-26 00:00:02	-79.373041411824	43.6532643088013	Toronto
Montreal	45.52	-73.57	45.5175894378766	-73.6401301162635	543	849	4921.34013005998	2016-11-26 00:00:03	-79.2413866924591	43.1760874049301	Saint catharines-niagara
Montreal	45.52	-73.57	45.5162281432641	-73.6964229206622	404	559	956.346497230697	2016-11-26 00:00:04	-113.532315109155	53.5713941699769	Edmonton
Montreal	45.52	-73.57	45.5244650318826	-73.4241855842379	456	90	4383.62463853555	2016-11-26 00:00:05	-79.3832867325175	43.656321038025	Toronto
Toronto	43.65	-79.38	43.645891217873	-79.3877927634925	906	657	2868.06823657826	2016-11-26 00:00:06	-79.2465098220727	43.1796714046642	Saint catharines-niagara
Toronto	43.65	-79.38	43.6442489765716	-79.3851561032157	289	778	2915.68657804746	2016-11-26 00:00:07	-75.7609491681464	45.4186231332308	Ottawa
Hamilton	43.26	-79.85	43.2605706227924	-79.8550104275757	959	905	683.704206778202	2016-11-26 00:00:08	-79.3741140736152	43.6556867375651	Toronto
Ottawa	45.42	-75.71	45.4217338137761	-75.6605322767005	568	796	3930.0307594589	2016-11-26 00:00:09	-73.5193082383	45.5277389471735	Montreal
Toronto	43.65	-79.38	43.6507930139786	-79.3851051134148	94	142	2919.62031825678	2016-11-26 00:00:10	-73.6621559908042	45.5234061873074	Montreal
Windsor	42.3	-83.03	42.2934141568237	-83.0283247921188	264	697	3472.57371653104	2016-11-26 00:00:11	-123.120235505618	49.2737356796633	Vancouver
Montreal	45.52	-73.57	45.5233817616865	-73.7187722008553	185	344	4349.0352100227	2016-11-26 00:00:12	-123.121923457441	49.2843881511319	Vancouver
Toronto	43.65	-79.38	43.6583835609112	-79.3766220374112	631	524	1759.09955186071	2016-11-26 00:00:13	-79.8407049786762	43.2550744950869	Hamilton
Toronto	43.65	-79.38	43.6487701713453	-79.3710220084526	432	318	1270.51605418092	2016-11-26 00:00:14	-73.5376451822353	45.5163005759548	Montreal
Regina	50.45	-104.61	50.452660921872	-104.606918210487	998	845	4397.54404540872	2016-11-26 00:00:15	-73.3672842461237	45.5217901087179	Montreal
Toronto	43.65	-79.38	43.6499345736788	-79.3825023432493	209	231	3973.16521387547	2016-11-26 00:00:16	-73.504048458905	45.5131169092829	Montreal
Toronto	43.65	-79.38	43.6461761993616	-79.3870395782336	470	832	693.944842449855	2016-11-26 00:00:17	-122.312697742144	49.0526649268939	Abbotsford
Toronto	43.65	-79.38	43.6467373202707	-79.3779801433179	495	628	4069.33222729713	2016-11-26 00:00:18	-122.771209368778	53.9034890269052	Prince george
Toronto	43.65	-79.38	43.6498016829694	-79.3889140547741	251	430	2011.01309444057	2016-11-26 00:00:19	-84.3578798311259	46.5341062978805	Sault sainte marie
